Filename,MLCS 8485 laser coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 laser coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.00,30.06,-0.020,99.650
0.00,30.06,-0.020,99.649
0.00,30.06,-0.020,99.649
0.01,30.06,-0.020,99.649
0.01,30.06,-0.020,99.649
0.01,30.06,-0.020,99.649
0.01,30.06,-0.020,99.649
0.01,30.06,-0.020,99.649
0.01,30.05,-0.020,99.649
0.01,30.05,-0.020,99.649
0.02,30.05,-0.020,99.649
0.02,30.06,-0.020,99.649
0.02,30.05,-0.020,99.649
0.02,30.05,-0.020,99.649
0.02,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.03,30.05,-0.020,99.649
0.04,30.05,-0.020,99.649
0.04,30.05,-0.020,99.649
0.04,30.05,-0.020,99.649
0.04,30.05,-0.020,99.648
0.04,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.05,30.05,-0.020,99.648
0.06,30.05,-0.020,99.648
0.06,30.05,-0.020,99.648
0.06,30.05,-0.020,99.648
0.06,30.05,-0.020,99.648
0.06,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.07,30.05,-0.020,99.648
0.08,30.05,-0.020,99.648
0.08,30.05,-0.020,99.648
0.08,30.05,-0.020,99.648
0.08,30.05,-0.020,99.648
0.08,30.05,-0.020,99.648
0.08,30.05,-0.020,99.647
0.08,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.09,30.05,-0.020,99.647
0.10,30.05,-0.020,99.647
0.10,30.05,-0.020,99.647
0.10,30.05,-0.020,99.647
0.10,30.05,-0.020,99.647
0.10,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.11,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.12,30.05,-0.020,99.647
0.13,30.05,-0.020,99.646
0.13,30.05,-0.020,99.646
0.13,30.05,-0.020,99.646
0.13,30.05,-0.020,99.646
0.13,30.05,-0.020,99.646
0.13,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.14,30.05,-0.020,99.646
0.15,30.05,-0.020,99.646
0.15,30.05,-0.020,99.646
0.15,30.05,-0.020,99.646
0.15,30.05,-0.020,99.646
0.15,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.646
0.16,30.05,-0.020,99.645
0.17,30.05,-0.020,99.645
0.17,30.05,-0.020,99.645
0.17,30.05,-0.019,99.645
0.17,30.05,-0.019,99.645
0.17,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.18,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.19,30.05,-0.019,99.645
0.20,30.05,-0.019,99.645
0.20,30.05,-0.019,99.645
0.20,30.05,-0.019,99.645
0.20,30.05,-0.019,99.645
0.20,30.05,-0.019,99.645
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.21,30.05,-0.019,99.644
0.22,30.05,-0.019,99.644
0.22,30.05,-0.019,99.644
