Filename,MLCS 8485 oven coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 oven coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.00,27.22,-0.004,99.595
0.00,27.22,-0.004,99.595
0.00,27.22,-0.004,99.595
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.01,27.22,-0.004,99.594
0.02,27.22,-0.004,99.594
0.02,27.22,-0.004,99.594
0.02,27.22,-0.004,99.594
0.02,27.22,-0.004,99.594
0.02,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.03,27.22,-0.004,99.594
0.04,27.22,-0.004,99.594
0.04,27.22,-0.004,99.594
0.04,27.22,-0.004,99.594
0.04,27.22,-0.004,99.594
0.04,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.05,27.22,-0.004,99.593
0.06,27.22,-0.004,99.593
0.06,27.22,-0.004,99.593
0.06,27.22,-0.004,99.593
0.06,27.22,-0.004,99.593
0.06,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.07,27.22,-0.004,99.593
0.08,27.22,-0.004,99.593
0.08,27.22,-0.004,99.593
0.08,27.22,-0.004,99.593
0.08,27.22,-0.004,99.593
0.08,27.22,-0.004,99.592
0.08,27.22,-0.004,99.592
0.08,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.09,27.22,-0.004,99.592
0.10,27.22,-0.004,99.592
0.10,27.22,-0.004,99.592
0.10,27.22,-0.004,99.592
0.10,27.22,-0.004,99.592
0.10,27.22,-0.004,99.592
0.11,27.22,-0.004,99.592
0.11,27.22,-0.004,99.592
0.11,27.22,-0.004,99.592
0.11,27.22,-0.004,99.592
0.11,27.22,-0.004,99.592
0.11,27.21,-0.004,99.592
0.12,27.22,-0.004,99.592
0.12,27.21,-0.004,99.592
0.12,27.21,-0.004,99.592
0.12,27.22,-0.004,99.592
0.12,27.22,-0.004,99.591
0.12,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.13,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.14,27.21,-0.004,99.591
0.15,27.21,-0.004,99.591
0.15,27.21,-0.004,99.591
0.15,27.21,-0.004,99.591
0.15,27.21,-0.004,99.591
0.15,27.21,-0.004,99.591
0.16,27.21,-0.004,99.591
0.16,27.21,-0.004,99.591
0.16,27.21,-0.004,99.591
0.16,27.21,-0.004,99.591
0.16,27.21,-0.004,99.590
0.16,27.21,-0.004,99.590
0.16,27.21,-0.004,99.590
0.17,27.21,-0.004,99.590
0.17,27.21,-0.004,99.590
0.17,27.21,-0.004,99.590
0.17,27.21,-0.004,99.590
0.17,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.18,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.19,27.21,-0.004,99.590
0.20,27.21,-0.004,99.590
