Filename,MLCS 8485 uncoated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 uncoated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.00,23.02,-0.044,98.458
0.00,23.02,-0.043,98.458
0.00,23.02,-0.043,98.458
0.01,23.02,-0.043,98.458
0.01,23.02,-0.043,98.458
0.01,23.02,-0.043,98.458
0.01,23.02,-0.043,98.457
0.01,23.02,-0.043,98.457
0.01,23.02,-0.043,98.457
0.01,23.02,-0.043,98.457
0.02,23.02,-0.043,98.457
0.02,23.02,-0.043,98.457
0.02,23.02,-0.043,98.456
0.02,23.02,-0.043,98.456
0.02,23.02,-0.043,98.456
0.03,23.02,-0.043,98.456
0.03,23.02,-0.043,98.456
0.03,23.02,-0.043,98.455
0.03,23.02,-0.043,98.455
0.03,23.02,-0.043,98.455
0.03,23.02,-0.043,98.455
0.03,23.02,-0.043,98.455
0.04,23.02,-0.043,98.455
0.04,23.02,-0.043,98.454
0.04,23.02,-0.043,98.454
0.04,23.02,-0.043,98.454
0.04,23.02,-0.043,98.454
0.05,23.02,-0.043,98.454
0.05,23.02,-0.043,98.454
0.05,23.02,-0.043,98.453
0.05,23.02,-0.043,98.453
0.05,23.02,-0.043,98.453
0.05,23.02,-0.043,98.453
0.05,23.02,-0.043,98.453
0.06,23.02,-0.043,98.453
0.06,23.02,-0.043,98.452
0.06,23.02,-0.043,98.452
0.06,23.02,-0.043,98.452
0.06,23.02,-0.043,98.452
0.07,23.02,-0.043,98.452
0.07,23.02,-0.043,98.452
0.07,23.02,-0.043,98.451
0.07,23.02,-0.043,98.451
0.07,23.02,-0.043,98.451
0.07,23.02,-0.043,98.451
0.08,23.02,-0.043,98.451
0.08,23.02,-0.043,98.451
0.08,23.02,-0.043,98.450
0.08,23.02,-0.043,98.450
0.08,23.02,-0.043,98.450
0.08,23.02,-0.043,98.450
0.08,23.02,-0.043,98.450
0.09,23.02,-0.043,98.450
0.09,23.02,-0.043,98.449
0.09,23.02,-0.043,98.449
0.09,23.02,-0.043,98.449
0.09,23.02,-0.043,98.449
0.09,23.02,-0.043,98.449
0.10,23.02,-0.043,98.449
0.10,23.02,-0.043,98.448
0.10,23.02,-0.043,98.448
0.10,23.02,-0.043,98.448
0.10,23.02,-0.043,98.448
0.11,23.02,-0.043,98.448
0.11,23.02,-0.043,98.448
0.11,23.02,-0.043,98.447
0.11,23.02,-0.043,98.447
0.11,23.02,-0.043,98.447
0.11,23.02,-0.043,98.447
0.12,23.02,-0.043,98.447
0.12,23.02,-0.043,98.447
0.12,23.02,-0.043,98.446
0.12,23.02,-0.043,98.446
0.12,23.02,-0.043,98.446
0.12,23.02,-0.043,98.446
0.13,23.02,-0.043,98.446
0.13,23.02,-0.043,98.446
0.13,23.02,-0.043,98.445
0.13,23.02,-0.043,98.445
0.13,23.02,-0.043,98.445
0.13,23.02,-0.043,98.445
0.14,23.02,-0.043,98.445
0.14,23.02,-0.043,98.445
0.14,23.02,-0.043,98.444
0.14,23.02,-0.043,98.444
0.14,23.02,-0.043,98.444
0.14,23.02,-0.043,98.444
0.14,23.02,-0.043,98.444
0.15,23.02,-0.043,98.444
0.15,23.02,-0.043,98.443
0.15,23.02,-0.043,98.443
0.15,23.02,-0.043,98.443
0.15,23.02,-0.043,98.443
0.16,23.02,-0.043,98.443
0.16,23.02,-0.043,98.443
0.16,23.02,-0.043,98.442
0.16,23.02,-0.043,98.442
0.16,23.02,-0.043,98.442
0.16,23.02,-0.043,98.442
0.16,23.02,-0.043,98.442
0.17,23.02,-0.043,98.442
0.17,23.02,-0.043,98.441
0.17,23.02,-0.043,98.441
0.17,23.02,-0.043,98.441
0.17,23.02,-0.043,98.441
0.18,23.02,-0.043,98.441
0.18,23.02,-0.043,98.441
0.18,23.03,-0.043,98.440
0.18,23.03,-0.043,98.440
0.18,23.03,-0.043,98.440
0.18,23.03,-0.043,98.440
0.19,23.03,-0.043,98.440
0.19,23.03,-0.043,98.440
0.19,23.03,-0.043,98.439
0.19,23.03,-0.043,98.439
0.19,23.03,-0.043,98.439
0.19,23.03,-0.043,98.439
0.19,23.03,-0.043,98.439
0.20,23.03,-0.043,98.439
0.20,23.03,-0.042,98.438
0.20,23.03,-0.042,98.438
0.20,23.03,-0.042,98.438
0.20,23.03,-0.042,98.438
0.21,23.03,-0.042,98.438
0.21,23.03,-0.042,98.438
0.21,23.03,-0.042,98.437
0.21,23.03,-0.042,98.437
0.21,23.03,-0.042,98.437
0.21,23.03,-0.042,98.437
0.21,23.03,-0.042,98.437
0.22,23.03,-0.042,98.437
0.22,23.03,-0.042,98.436
0.22,23.03,-0.042,98.436
0.22,23.03,-0.042,98.436
0.22,23.03,-0.042,98.436
0.23,23.03,-0.042,98.436
0.23,23.03,-0.042,98.436
0.23,23.03,-0.042,98.436
0.23,23.03,-0.042,98.435
0.23,23.03,-0.042,98.435
0.23,23.03,-0.042,98.435
0.24,23.03,-0.042,98.435
0.24,23.03,-0.042,98.435
0.24,23.03,-0.042,98.435
0.24,23.03,-0.042,98.434
0.24,23.03,-0.042,98.434
0.24,23.04,-0.042,98.434
0.24,23.04,-0.042,98.434
0.25,23.04,-0.042,98.434
0.25,23.04,-0.042,98.434
0.25,23.04,-0.042,98.433
0.25,23.04,-0.042,98.433
0.25,23.04,-0.042,98.433
0.26,23.04,-0.042,98.433
0.26,23.04,-0.042,98.433
0.26,23.04,-0.042,98.433
0.26,23.04,-0.042,98.433
0.26,23.04,-0.042,98.432
0.26,23.04,-0.042,98.432
0.26,23.04,-0.042,98.432
0.27,23.04,-0.042,98.432
0.27,23.04,-0.042,98.432
0.27,23.04,-0.042,98.432
0.27,23.04,-0.042,98.431
0.27,23.04,-0.042,98.431
0.28,23.04,-0.042,98.431
0.28,23.04,-0.042,98.431
0.28,23.05,-0.042,98.431
0.28,23.05,-0.042,98.431
0.28,23.05,-0.042,98.430
0.28,23.05,-0.042,98.430
0.29,23.05,-0.042,98.430
0.29,23.05,-0.042,98.430
0.29,23.05,-0.042,98.430
0.29,23.05,-0.042,98.430
0.29,23.05,-0.042,98.429
0.29,23.05,-0.042,98.429
0.30,23.05,-0.042,98.429
0.30,23.05,-0.042,98.429
0.30,23.05,-0.042,98.429
0.30,23.05,-0.042,98.429
0.30,23.06,-0.042,98.429
0.30,23.06,-0.042,98.428
0.30,23.06,-0.042,98.428
0.31,23.06,-0.042,98.428
0.31,23.06,-0.042,98.428
0.31,23.06,-0.042,98.428
0.31,23.06,-0.042,98.428
0.31,23.06,-0.042,98.427
0.31,23.06,-0.042,98.427
0.32,23.06,-0.042,98.427
0.32,23.06,-0.042,98.427
0.32,23.07,-0.042,98.427
0.32,23.07,-0.042,98.427
0.32,23.07,-0.042,98.426
0.33,23.07,-0.042,98.426
0.33,23.07,-0.042,98.426
0.33,23.07,-0.042,98.426
0.33,23.07,-0.041,98.426
0.33,23.07,-0.041,98.426
0.33,23.07,-0.041,98.425
0.34,23.08,-0.041,98.425
0.34,23.08,-0.041,98.425
0.34,23.08,-0.041,98.425
0.34,23.08,-0.041,98.425
0.34,23.08,-0.041,98.425
0.34,23.08,-0.041,98.425
0.35,23.08,-0.041,98.424
0.35,23.08,-0.041,98.424
0.35,23.09,-0.041,98.424
0.35,23.09,-0.041,98.424
0.35,23.09,-0.041,98.424
0.35,23.09,-0.041,98.424
0.35,23.09,-0.041,98.423
0.36,23.09,-0.041,98.423
0.36,23.09,-0.041,98.423
0.36,23.10,-0.041,98.423
0.36,23.10,-0.041,98.423
0.36,23.10,-0.041,98.423
0.36,23.10,-0.041,98.423
0.37,23.10,-0.041,98.422
0.37,23.10,-0.041,98.422
0.37,23.11,-0.041,98.422
